case,num_mu,n_delta,n_y_bound_lps,mu_bound_time_s,y_bound_time_s,min_L,max_U,max_width,avg_width,presolved_rows,presolved_cols,bilinear_constraints,root_relaxation_obj,first_incumbent_found,approx_root_gap,gamma_inc,gamma_bd,rel_gap,nodes,solve_runtime_s,total_runtime_s,termination_status,rho,sqrt_rho,max_AtMu,c_mu_plus1,min_mu,max_ydef,obj_yform,obj_muform,root_bound_old_replica,old_replica_status
5_pjm,22,3,6,1.0594917,0.2205874,-0.10550685238728831,0.30188317259780467,0.4018831725978047,0.3440160765509623,12,30,3,NaN,0.1590795,NaN,0.1590794611308475,0.15907948254426088,1.3460828458672335e-7,1,0.019999980926513672,2.1355683,OPTIMAL,6.286166629502666,2.507222891867148,1.6589955411223134e-9,2.0176985970898897e-8,0.0,3.6734268404892134e-10,0.1590794611308475,0.15907946115384414,0.9483911,OPTIMAL
14_ieee,44,11,22,1.1055496,0.2439107,-0.5646866937084858,0.9098455076147671,1.4402426378018647,1.1844720851081827,25,65,11,6.227605,5.6122449,0.10964598141467406,5.612244897959185,5.612298156455103,9.489695636352863e-6,5,0.07699990272521973,2.3317918,OPTIMAL,0.17818181818181814,0.422115882408869,0.0,0.0,0.0,0.0,5.612244897959185,5.612244897959185,12.58347,OPTIMAL
24_ieee,140,17,34,0.7942664,0.1044186,-0.3703703703703703,0.6296986571164167,0.8547934839256981,0.3623143855501324,65,156,17,0.9012101,0.5519032,0.6329133442241319,0.5519032546059552,0.5519036117802021,6.471682199094349e-7,85,0.053999900817871094,1.2826845,OPTIMAL,1.811911764705889,1.3460727189516506,0.0,1.3322676295501878e-15,0.0,0.0,0.5519032546059555,0.5519032546059552,2.501814,OPTIMAL
30_as,94,21,42,0.460973,0.0930197,-5.128205128205126,7.999999999999997,13.128205128205124,4.974101087662887,54,143,21,212.1644,69.3152276,2.0608627764211507,69.31522766194178,69.31522910785097,2.0859906838083895e-8,62682,2.864000082015991,3.8447319999999996,OPTIMAL,0.014426844341868332,0.12011179934489505,1.3351904043005366e-16,1.1102230246251565e-16,0.0,0.0,69.31522766194178,69.31522766194178,638.4713,OPTIMAL
57_ieee,168,42,84,1.6986627,0.2801232,-1.7713995307979307,2.6272973881399038,4.398696918937834,1.1837884205767568,98,263,42,36.49729,18.2739227,0.9972334675575705,18.27392276537164,18.273922765371676,1.9441439719405802e-15,657,0.4199998378753662,3.2843341,OPTIMAL,0.0547227879224137,0.2339290232579397,6.327403878625404e-16,3.9968028886505635e-15,0.0,7.549516567451064e-15,18.27392276537164,18.27392276537168,40.5793,OPTIMAL
60_c,220,22,44,2.6607494,0.2918386,-0.14588669749396832,0.3358181638671733,0.4265441696965007,0.15859767352477458,73,220,22,0.2457487,0.0729584,2.368340040351762,0.11277383918312125,0.11277434548188767,4.489505456931409e-6,5485,0.6669998168945312,4.4208635,OPTIMAL,8.867304751203939,2.97780199999999,5.26488574958961e-16,2.220446049250313e-16,0.0,7.033083967641907e-16,0.11277383918312125,0.11277383918312121,6.37785,TIME_LIMIT
118_ieee,410,99,198,5.0928312,0.388858,-0.5649717514124294,1.4925373134328384,1.9851481508712623,0.7028199168413968,241,629,99,14.2751,1.7247361,7.276686502938044,2.3667952978938667,9.417980410643926,2.979212067484111,861750,300.1009998321533,306.2495662,TIME_LIMIT,0.4225122472103384,0.6500094208627583,7.261917719936228e-9,1.6389154477991497e-9,0.0,8.091959984024566e-10,2.3667952978938662,2.366795296111349,10.02131,TIME_LIMIT
