case,num_mu,status,time_limit_s,runtime_s,gamma_inc,gamma_bd,rel_gap,nodes,rho,sqrt_rho,max_AtMu,cTmu,min_mu
5_pjm,22,OPTIMAL,60.0,0.03399991989135742,0.1590794820950326,0.15907948209503267,5.234284506731294e-16,9,6.286165801084325,2.507222726660782,0.0,-1.0,0.0
14_ieee,44,OPTIMAL,60.0,0.11100006103515625,5.612244897959184,5.612244898004349,8.047539200685027e-12,11,0.17818181818181816,0.42211588240886905,0.0,-1.0,0.0
24_ieee,140,OPTIMAL,60.0,0.7339999675750732,0.551903254605955,0.5519035507622025,5.366089890828902e-7,189,1.8119117647058898,1.3460727189516508,0.0,-0.9999999999999982,0.0
30_as,94,OPTIMAL,60.0,1.380000114440918,69.31522766194179,69.31522769348703,4.550982828737201e-10,103,0.014426844341868328,0.12011179934489503,1.3351904043005366e-16,-0.9999999999999999,0.0
57_ieee,168,OPTIMAL,300.0,2.140000104904175,18.273922596926635,18.275392266471915,8.04244155837128e-5,33,0.054722788426836345,0.2339290243360929,1.0900952016057452e-10,-0.9999999942361563,0.0
60_c,220,TIME_LIMIT,300.0,300.2920000553131,0.11277363239657417,0.3038686818147087,1.6945011467409257,4292,8.867321010672509,2.9778047301111785,1.1362473258761936e-9,-0.9999999907758558,-2.2926256188322638e-7
118_ieee,410,TIME_LIMIT,300.0,309.08200001716614,2.227667956515832,6.506834703673996,1.9209176729600956,1,0.4488999346042768,0.6699999511972197,9.144724957794904e-10,-1.0000000058011818,-2.0257130993281777e-7
118_ieee,410,TIME_LIMIT,300.0,324.0550000667572,2.227667956515832,6.506834703673996,1.9209176729600956,1,0.4488999346042768,0.6699999511972197,9.144724957794904e-10,-1.0000000058011818,-2.0257130993281777e-7
